oc	44060
Ab	3399
ta	220016
m 	219177
KB	1197
lo	155722
-d	3386
il	312125
is	668008
 w	846332
 I	142888
US	15714
Ne	18269
 e	215508
Re	8015
 p	401197
NA	1095
zh	1072
ad	178520
aw	25250
ll	444537
et	350915
az	4580
ab	87549
, 	202059
e!	5628
Wa	19206
yt	23003
Me	12453
En	9140
re	821675
an	754293
Gu	1052
Th	286285
in	1103750
si	178376
Dy	2297
nb	1113
Ma	41006
f.	5689
rf	5673
i'	1208
ro	252637
a.	21514
no	266496
GS	1192
ni	149987
o 	660541
3 	4443
4t	1140
pa	98177
ph	11159
li	226688
ac	180810
du	30795
em	151793
w 	161520
M 	5587
lp	18470
 v	62505
Ch	24764
e'	43437
Tr	18370
nj	12363
n-	4417
sc	37235
me	428335
o-	2250
ri	204201
gl	11435
y,	24862
o'	1143
 i	727117
dy	27346
p?	3391
ko	1195
nt	348539
ru	33319
ot	206311
Sw	2280
fl	17061
wh	79573
nx	1171
Sh	25444
ut	172236
ea	339833
u?	5680
1?	1096
qu	55853
'd	3297
g 	392688
cK	1050
ar	445991
so	179232
my	51886
Al	12361
CO	1032
 c	476047
eB	1022
yc	2238
co	267842
s!	1134
eb	9123
 0	3338
 y	378526
 ,	1108
e.	258780
ry	138349
ca	210724
id	153474
ha	521342
a 	311874
 B	42098
av	207189
lw	3422
 J	35169
le	370771
Je	10249
 S	78688
ss	142712
ly	129661
se	339335
d.	102919
py	5717
pe	178360
pl	149716
rk	72328
os	108990
cr	23774
b,	4481
21	1135
EG	1192
jo	21587
Ok	1183
gt	7861
ob	50812
2 	5674
Ba	7966
e 	2457296
Wh	49709
t.	152554
s.	232435
ul	176413
wm	1077
nf	37717
ct	123732
Ca	27593
ti	414943
kb	2404
ir	90677
 r	276998
't	99318
's	91638
iu	5577
rv	13594
To	7853
pd	2199
bs	12316
 M	63445
TX	1133
ds	43358
nk	87688
ed	489939
ud	16047
-3	1085
yo	336795
o.	31035
No	27741
m,	5552
la	222796
di	156986
Gl	3507
ou	760118
l-	3268
o?	3507
st	443557
cs	3339
ra	177396
.9	1054
d'	3371
yp	1090
'v	14491
TG	1159
ge	176297
Op	2230
ng	513294
ht	68510
 t	1694152
Do	37571
. 	2237
e?	34480
gs	12645
9t	2291
wo	155764
tw	30722
Cl	13634
wk	2273
 n	286173
 b	487437
Go	6869
-B	1016
tb	6840
tr	131513
dw	5796
We	118575
u 	267471
EO	2291
bl	83149
 3	12298
 s	640635
rd	82695
gg	8131
y 	605705
 q	43304
gh	100495
h.	28532
ug	52421
Yo	37365
tn	5687
u,	2333
n,	24030
26	2272
bo	70551
lk	25261
Pi	2212
bt	2241
p 	85089
0.	3372
'l	50993
oe	22672
f-	1119
Bo	19087
 1	32854
10	7930
0 	22490
32	1139
fa	34499
ck	129080
Cr	4430
k.	47801
dd	21846
Za	2218
of	219484
Fo	11323
 C	51829
It	43442
'r	12282
At	6696
k 	199042
oa	16912
PM	5602
-l	1073
-m	4473
Da	13515
uy	10072
aj	5725
ua	38476
Co	19481
cl	39486
ec	165217
ui	27341
sn	21430
 7	4422
sk	18148
ex	78700
tm	8999
R 	3448
ep	60241
sb	5751
Se	24948
mb	38789
t'	30327
EN	2303
De	12503
rc	43847
Ov	1146
Ly	2248
 Y	6641
27	1093
So	23875
6-	1085
p!	1181
ju	39172
 m	466880
99	2218
m.	33384
rp	18150
Su	20386
Mo	29541
50	4438
th	1189847
n?	11705
ms	27372
30	5582
nr	9158
c.	9143
Le	34604
Ta	12723
iw	2270
ip	28430
Be	14077
hy	3354
IG	1141
k?	8031
t?	21840
My	5683
cC	1121
gn	31752
by	42002
dg	6932
oo	145900
cc	17025
nv	37374
Pa	20280
e,	29601
 G	29661
Of	2223
ki	67801
ks	57267
4 	4567
gu	26186
w.	51175
da	170029
p.	29838
FL	1194
N.	1163
ts	84122
dl	13705
Fa	20128
a,	10245
Pr	14652
z,	1168
lv	7983
HR	2315
Ti	4641
u'	6810
au	11406
Sm	3251
a'	4455
.?	1115
b 	8063
d!	2192
PS	2227
3.	2170
dr	27406
lm	11175
d,	11305
nu	30560
S 	19155
YI	2330
oi	64977
rm	43377
 U	22565
Tu	7987
wn	36274
Ha	23079
i.	4555
yw	1142
?.	3458
 E	22833
Jo	18307
Au	3557
oh	13734
Te	11372
CF	1104
Hy	1162
St	22485
eu	6684
Ka	3561
r'	2246
f,	4511
Mr	1128
Ji	6851
BA	1128
Ho	41266
tl	36274
An	13502
Ru	5600
Ce	1085
ah	7965
fy	6848
 R	16962
Ra	5703
A,	1104
aa	4395
sl	9913
N 	3328
iz	7920
Ke	8146
oy	17085
Li	9059
B 	3399
dm	5603
Vi	5634
Es	1135
Us	3385
do	130733
o,	12525
ix	11397
pi	29378
ty	49886
BS	1156
Mc	4420
hi	451555
lr	6950
Er	1140
 F	54288
El	3393
 5	4443
0M	1134
69	1112
xi	5807
dn	26931
w!	1163
iq	1153
r,	7989
mn	1124
FM	1162
Ci	4571
6.	2278
c?	1096
ax	11575
Wi	15055
Pe	7889
Fi	3386
eh	5642
Eu	5630
2P	1110
tc	21513
 6	7803
Lu	2256
sp	58705
MA	1104
w'	1106
 P	35966
ez	1168
d-	3389
 h	603395
18	1195
el	184672
Ou	7975
8t	1195
tt	85452
As	6804
19	3400
ik	34253
g?	10648
bv	2138
xe	7976
 4	8934
rr	79254
43	1075
6t	1156
Hi	7923
io	193463
rn	75225
lg	2252
Ki	3296
L.	1194
ps	9114
tu	61550
 o	607249
9.	3352
25	1128
Dr	3419
nq	1128
5 	7825
Sy	2308
ze	9001
Di	20635
t!	2364
Du	4538
yi	18407
y-	4461
Ge	9162
k,	5709
15	2304
sm	3441
,I	3305
-t	4496
Si	4396
l,	6923
a-	1127
yn	8999
Zo	1196
xa	1196
xc	5736
sg	2226
Bu	24156
l?	5786
y'	10892
y.	156078
ys	38387
-W	1209
gf	1090
Ko	2305
ku	4522
 8	2263
n'	108215
t-	1119
-o	2215
In	19240
nl	14829
SA	2249
Gi	6965
ya	7905
-c	5549
fi	156548
hs	3326
h'	1052
ga	100227
Wo	6904
wt	1081
yr	1120
cu	42687
14	2277
UN	2175
w-	1194
-b	1194
y?	11445
BP	2334
P 	2334
49	2207
bi	31641
9C	1096
Fe	5580
Ex	3421
pt	28531
Sc	3342
H.	1126
m?	6859
